cited_person_age,citation_time,charge_description,street,month,day_of_week,week_of_year,hour_of_day,place_id,age_breaks
20.0,2121,Drug Paraphernalia-Possess/Use,N Scottsdale Rd,10,0,44,21,N Scottsdale Rd - 2xxx,"(17.999, 24.0]"
39.0,28,DUI-Impaired to Slightest Degree,N 75th St,10,1,44,0,N 75th St - 4xxx,"(37.0, 50.0]"
39.0,28,Expired/No Arizona Registration,N 75th St,10,1,44,0,N 75th St - 4xxx,"(37.0, 50.0]"
25.0,251,Drug Paraphernalia-Possess/Use,N Hayden Rd,10,1,44,2,N Hayden Rd - 4xxx,"(24.0, 29.0]"
26.0,1422,Speed Greater Than R&P or Posted,N Scottsdale Rd,10,5,43,14,N Scottsdale Rd - 7xxx,"(24.0, 29.0]"
25.0,729,Speed Greater Than R&P or Posted,N Pima Rd,10,4,42,7,N Pima Rd - 2xxx,"(24.0, 29.0]"
32.0,757,Speed Greater Than R&P or Posted,N Miller Rd,10,4,42,7,N Miller Rd - 2xxx,"(29.0, 37.0]"
45.0,741,Speed Greater Than R&P or Posted,N Pima Rd,10,4,42,7,N Pima Rd - 2xxx,"(37.0, 50.0]"
50.0,909,Speed Greater Than R&P or Posted,N Hayden Rd,10,4,42,9,N Hayden Rd - 1xxx,"(37.0, 50.0]"
36.0,932,Speed Greater Than R&P or Posted,N Hayden Rd,10,4,42,9,N Hayden Rd - 1xxx,"(29.0, 37.0]"
28.0,1538,Speed Greater Than R&P or Posted,E McKellips Rd,10,0,43,15,E McKellips Rd - 7xxx,"(24.0, 29.0]"
58.0,1529,No Proof of Insurance,E Frank Lloyd Wright Bl / N Hayden Rd,10,6,42,15,E Frank Lloyd Wright Bl / N Hayden Rd -  xxx,"(50.0, 97.0]"
28.0,1514,Speed Greater Than R&P or Posted,N Pima Rd,10,0,43,15,N Pima Rd - 2xxx,"(24.0, 29.0]"
90.0,1535,Speed Greater Than R&P or Posted,N Pima Rd,10,0,43,15,N Pima Rd - 2xxx,"(50.0, 97.0]"
69.0,1557,Speed Greater Than R&P or Posted,N Pima Rd,10,0,43,15,N Pima Rd - 2xxx,"(50.0, 97.0]"
19.0,1512,Speed Greater Than R&P or Posted,E Shea Bl,10,6,42,15,E Shea Bl - 1xxx,"(17.999, 24.0]"
21.0,1138,Fail to Obey Traffic Control Device,E Mountain View Rd,10,0,42,11,E Mountain View Rd - 8xxx,"(17.999, 24.0]"
40.0,1722,Speed Greater Than R&P or Posted,E Shea Bl,10,0,43,17,E Shea Bl - 1xxx,"(37.0, 50.0]"
35.0,1223,Speed Greater Than R&P or Posted,E Shea Bl,10,6,42,12,E Shea Bl - 1xxx,"(29.0, 37.0]"
